v17,v24af,kon,v75,v76
4,0,2,73,158
3,,2,,
3,7,2,60,171
3,0,2,54,165
3,0,2,63,165
3,18,2,62,173
3,0,2,53,163
4,0,2,60,157
3,0,2,79,175
3,0,2,65,180
3,0,2,69,170
3,0,2,69,165
3,3,2,52,173
3,0,2,53,167
3,0,2,67,172
4,0,2,65,157
3,0,2,63,172
3,1,2,78,175
3,0,2,64,165
3,0,2,70,160
3,4,2,55,166
2,6,2,70,171
3,0,2,90,171
3,0,2,48,163
4,0,2,52,158
2,0,2,61,170
3,2,2,68,176
,0,2,70,175
3,0,2,78,175
3,0,2,59,161
3,3,2,57,168
3,0,2,60,163
,2,2,63,163
3,3,2,59,172
,0,2,52,165
3,6.5,2,100,179
2,0,2,58,170
3,0,2,63,163
2,0,2,60,170
3,0,2,75,181
2,0,2,53,166
3,0,2,73,180
1,4,2,78,175
3,5,2,87,161
3,3,2,60,165
3,0,2,60,176
3,0,2,80,169
3,0,2,41,160
2,0,2,67,170
3,0,2,71,170
4,0,2,60,157
3,0,2,60,168
3,0,2,65,150
4,1,2,50,160
4,0,2,79,155
3,10,2,70,169
3,5,2,52,152
3,0,2,70,161
3,0,2,,
3,0,2,44,158
3,0,2,53,160
3,,2,68,163
3,0,2,46,163
3,0,2,60,178
3,0,2,40,155
3,1,2,55,156
3,0.5,2,75,176
3,2,2,56,162
2,0,2,83,170
3,0,2,52,170
4,,2,40,166
3,0,2,52,171
3,0,2,65,171
3,1,2,88,165
2,0,2,57,173
4,2,2,77,164
3,0,2,76,174
3,1,2,68,167
3,0,2,87,164
3,0,2,57,170
3,0,2,94,
3,0,2,65,
3,0,2,58,162
3,0,2,85,167
3,0,2,65,164
3,0,2,65,170
2,2,2,56,156
3,0,2,70,170
4,1,2,60,
3,0,2,70,170
3,4,2,63,162
1,0,2,57,170
3,0,2,55,163
3,0,2,83.6,168
2,1,2,70,185
3,0,2,60,
3,0,2,64,170
3,0,2,56,168
4,2,2,55,162
3,0,2,52,165
4,0,2,55,156
3,0,2,61,162
3,0,2,85,170
3,3,2,47,167
3,2,2,73,170
3,6,2,70,160
3,0,2,56,158
3,0,2,60,156
3,0,2,78,180
3,0,2,53,167
3,0,2,48,161
2,0,2,60,170
3,0,2,66,168
3,3,2,74,175
2,1,2,51,162
3,0,2,55,170
3,0,2,82,165
2,0,2,60,169
4,6,2,55,155
3,0,2,69,171
4,2,2,60,172
2,2,2,63,174
3,0,2,52,168
3,0,2,64,172
3,0,2,69,172
2,2,2,50,156
3,1,2,60,175
3,0,2,60,158
3,0,2,58,160
2,0,2,54,163
3,1,2,73,173
2,0,2,75,163
3,0,2,68,164
3,0,2,60,175
3,0,2,53,168
3,0,2,51,164
3,0,2,70,165
3,0,2,61,164
3,5,2,48,163
3,0,2,80,180
3,2,2,70,167
3,0,2,74,168
3,0,2,56,177
3,0,2,60,160
